title,category,price,discount_price,link,site,catalog,stock,stock_name,article,unit,order,inventory,city,price_2,discount_price_2,unit_2
"Счётчик для воды универсальный Valtec 1/2"" DN15 110 мм, со сгонами VLF-15U",Водоснабжение;Приборы учета и измерений,1025.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-valtec-1-2-dn15-110-mm-11696584/,leroymerlin,Приборы учета и измерений,-1,-1,11696584,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для горячей воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1480.0,-1,https://leroymerlin.ru//product/schetchik-dlya-goryachey-vody-itelma-1-2-dn15-18626861/,leroymerlin,Приборы учета и измерений,-1,-1,18626861,шт,-1,-1,Москва,-1,-1,-1
"Счетчик для воды универсальный Экватэл 1/2"" DN15 110 мм, со сгонами",Водоснабжение;Приборы учета и измерений,518.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-ekvatel-1-2-dn15-110-mm-81955262/,leroymerlin,Приборы учета и измерений,-1,-1,81955262,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для холодной воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1480.0,-1,https://leroymerlin.ru//product/schetchik-dlya-holodnoy-vody-itelma-1-2-dn15-18691655/,leroymerlin,Приборы учета и измерений,-1,-1,18691655,шт,-1,-1,Москва,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,750.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159358/,leroymerlin,Приборы учета и измерений,-1,-1,89159358,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды универсальный , 1/2"" DN 15 110 мм, со сгонами",Водоснабжение;Приборы учета и измерений,695.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-12956069/,leroymerlin,Приборы учета и измерений,-1,-1,12956069,шт,-1,-1,Москва,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 110 мм, со сгонами",Водоснабжение;Приборы учета и измерений,788.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159357/,leroymerlin,Приборы учета и измерений,-1,-1,89159357,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды универсальный Геррида, 3/4"" DN20, со сгонами",Водоснабжение;Приборы учета и измерений,1034.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-gerrida-12956077/,leroymerlin,Приборы учета и измерений,-1,-1,12956077,шт,-1,-1,Москва,-1,-1,-1
"Манометр аксиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://leroymerlin.ru//product/manometr-aksialnyy-17955233/,leroymerlin,Приборы учета и измерений,-1,-1,17955233,шт,-1,-1,Москва,-1,-1,-1
"Манометр радиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://leroymerlin.ru//product/manometr-radialnyy-17955241/,leroymerlin,Приборы учета и измерений,-1,-1,17955241,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды универсальный с импульсным выходом Геррида 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,864.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-s-impulsnym-vyhodom-gerrida-1-2-dn15-80-mm-12631221/,leroymerlin,Приборы учета и измерений,-1,-1,12631221,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды универсальный Valtec 1/2"" DN15 110 мм, без сгонов VLF-15U-L.110",Водоснабжение;Приборы учета и измерений,685.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-valtec-1-2-dn15-110-mm-82563073/,leroymerlin,Приборы учета и измерений,-1,-1,82563073,шт,-1,-1,Москва,-1,-1,-1
"Манометр аксиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://leroymerlin.ru//product/manometr-aksialnyy-17955225/,leroymerlin,Приборы учета и измерений,-1,-1,17955225,шт,-1,-1,Москва,-1,-1,-1
"Манометр радиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://leroymerlin.ru//product/manometr-radialnyy-17955250/,leroymerlin,Приборы учета и измерений,-1,-1,17955250,шт,-1,-1,Москва,-1,-1,-1
"Манометр Sterwins 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,295.0,-1,https://leroymerlin.ru//product/manometr-sterwins-6-bar-82279832/,leroymerlin,Приборы учета и измерений,-1,-1,82279832,шт,-1,-1,Москва,-1,-1,-1
Комплект монтажный сгонов для счётчика,Водоснабжение;Приборы учета и измерений,218.0,-1,https://leroymerlin.ru//product/komplekt-montazhnyy-sgonov-dlya-schetchika-81955263/,leroymerlin,Приборы учета и измерений,-1,-1,81955263,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для газа СГБМ 1.8 1/2""",Водоснабжение;Приборы учета и измерений,2077.0,-1,https://leroymerlin.ru//product/schetchik-dlya-gaza-sgbm-18-1-2-18696536/,leroymerlin,Приборы учета и измерений,-1,-1,18696536,шт,-1,-1,Москва,-1,-1,-1
"Манометр радиальный Росма 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://leroymerlin.ru//product/manometr-radialnyy-rosma-10-bar-88327517/,leroymerlin,Приборы учета и измерений,-1,-1,88327517,шт,-1,-1,Москва,-1,-1,-1
"Термометр осевой Росма 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,581.0,-1,https://leroymerlin.ru//product/termometr-osevoy-rosma-120c-85258321/,leroymerlin,Приборы учета и измерений,-1,-1,85258321,шт,-1,-1,Москва,-1,-1,-1
"Манометр для фильтров Honeywell FK + клапан D04/D06, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1351.0,-1,https://leroymerlin.ru//product/manometr-dlya-filtrov-honeywell-fk-klapan-d04-d06-11176888/,leroymerlin,Приборы учета и измерений,-1,-1,11176888,шт,-1,-1,Москва,-1,-1,-1
"Термоманометр горизонтальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://leroymerlin.ru//product/termomanometr-gorizontalnyy-17955268/,leroymerlin,Приборы учета и измерений,-1,-1,17955268,шт,-1,-1,Москва,-1,-1,-1
"Термоманометр вертикальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://leroymerlin.ru//product/termomanometr-vertikalnyy-17955276/,leroymerlin,Приборы учета и измерений,-1,-1,17955276,шт,-1,-1,Москва,-1,-1,-1
"Термометр накладной Росма 120C, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,394.0,-1,https://leroymerlin.ru//product/termometr-nakladnoy-rosma-120c-85258322/,leroymerlin,Приборы учета и измерений,-1,-1,85258322,шт,-1,-1,Москва,-1,-1,-1
"Манометр осевой Росма 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,432.0,-1,https://leroymerlin.ru//product/manometr-osevoy-rosma-10-bar-85258314/,leroymerlin,Приборы учета и измерений,-1,-1,85258314,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды мокроход, 3/4""",Водоснабжение;Приборы учета и измерений,2556.0,-1,https://leroymerlin.ru//product/schetchik-dlya-vody-mokrohod-17901104/,leroymerlin,Приборы учета и измерений,-1,-1,17901104,шт,-1,-1,Москва,-1,-1,-1
"Манометр аксиальный 1/4"" 0-10 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1070.0,-1,https://leroymerlin.ru//product/manometr-aksialnyy-1-4-0-10-bar-82273335/,leroymerlin,Приборы учета и измерений,-1,-1,82273335,шт,-1,-1,Москва,-1,-1,-1
"Манометр 50 мм, 1/4 дюйма",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,395.0,-1,https://leroymerlin.ru//product/manometr-50-mm-15309001/,leroymerlin,Приборы учета и измерений,-1,-1,15309001,шт,-1,-1,Москва,-1,-1,-1
"Манометр осевой Росма 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://leroymerlin.ru//product/manometr-osevoy-rosma-6-bar-85258316/,leroymerlin,Приборы учета и измерений,-1,-1,85258316,шт,-1,-1,Москва,-1,-1,-1
"Манометр радиальный 1/4"" 0-10 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1070.0,-1,https://leroymerlin.ru//product/manometr-radialnyy-1-4-0-10-bar-82273336/,leroymerlin,Приборы учета и измерений,-1,-1,82273336,шт,-1,-1,Москва,-1,-1,-1
"Термоманометр осевой Росма 10 бар 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1447.0,-1,https://leroymerlin.ru//product/termomanometr-osevoy-rosma-10-bar-120c-85258318/,leroymerlin,Приборы учета и измерений,-1,-1,85258318,шт,-1,-1,Москва,-1,-1,-1
"Термометр радиальный Росма 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1050.0,-1,https://leroymerlin.ru//product/termometr-radialnyy-rosma-120c-85258323/,leroymerlin,Приборы учета и измерений,-1,-1,85258323,шт,-1,-1,Москва,-1,-1,-1
Счётчик для горячей воды Itelma 1/2х80 мм,Водоснабжение;Приборы учета и измерений,1463.0,-1,https://leroymerlin.ru//product/schetchik-dlya-goryachey-vody-itelma-1-2x80-mm-81955260/,leroymerlin,Приборы учета и измерений,-1,-1,81955260,шт,-1,-1,Москва,-1,-1,-1
Счётчик для холодной воды Itelma 1/2х80 мм,Водоснабжение;Приборы учета и измерений,1463.0,-1,https://leroymerlin.ru//product/schetchik-dlya-holodnoy-vody-itelma-1-2x80-mm-81955261/,leroymerlin,Приборы учета и измерений,-1,-1,81955261,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для газа Вектор 4 диафрагменный, левый",Водоснабжение;Приборы учета и измерений,3305.0,-1,https://leroymerlin.ru//product/schetchik-dlya-gaza-vektor-4-diafragmennyy-82000383/,leroymerlin,Приборы учета и измерений,-1,-1,82000383,шт,-1,-1,Москва,-1,-1,-1
"Термоманометр радиальный Росма 10 бар 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1447.0,-1,https://leroymerlin.ru//product/termomanometr-radialnyy-rosma-10-bar-120c-85258320/,leroymerlin,Приборы учета и измерений,-1,-1,85258320,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для газа СГБМ 3.2 1/2""",Водоснабжение;Приборы учета и измерений,3661.0,-1,https://leroymerlin.ru//product/schetchik-dlya-gaza-sgbm-32-1-2-18696544/,leroymerlin,Приборы учета и измерений,-1,-1,18696544,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для газа Вектор 4 диафрагменный, правый",Водоснабжение;Приборы учета и измерений,3360.0,-1,https://leroymerlin.ru//product/schetchik-dlya-gaza-vektor-4-diafragmennyy-82000382/,leroymerlin,Приборы учета и измерений,-1,-1,82000382,шт,-1,-1,Москва,-1,-1,-1
"Счётчик для воды универсальный Valtec 1/2"" DN15 110 мм, со сгонами VLF-15U",Водоснабжение;Приборы учета и измерений,1078.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-valtec-1-2-dn15-110-mm-11696584/,leroymerlin,Приборы учета и измерений,-1,-1,11696584,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для горячей воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1043.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-goryachey-vody-itelma-1-2-dn15-18626861/,leroymerlin,Приборы учета и измерений,-1,-1,18626861,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для холодной воды Itelma 1/2"" DN15, со сгонами",Водоснабжение;Приборы учета и измерений,1043.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-holodnoy-vody-itelma-1-2-dn15-18691655/,leroymerlin,Приборы учета и измерений,-1,-1,18691655,шт,-1,-1,СПб,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,750.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159359/,leroymerlin,Приборы учета и измерений,-1,-1,89159359,шт,-1,-1,СПб,-1,-1,-1
"Счетчик для воды универсальный Пульсар, 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,750.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-pulsar-89159358/,leroymerlin,Приборы учета и измерений,-1,-1,89159358,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный , 1/2"" DN 15 110 мм, со сгонами",Водоснабжение;Приборы учета и измерений,678.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-12956069/,leroymerlin,Приборы учета и измерений,-1,-1,12956069,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный Геррида, 3/4"" DN20, со сгонами",Водоснабжение;Приборы учета и измерений,1034.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-gerrida-12956077/,leroymerlin,Приборы учета и измерений,-1,-1,12956077,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-17955233/,leroymerlin,Приборы учета и измерений,-1,-1,17955233,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-17955241/,leroymerlin,Приборы учета и измерений,-1,-1,17955241,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для воды универсальный с импульсным выходом Геррида 1/2"" DN15 80 мм, со сгонами",Водоснабжение;Приборы учета и измерений,864.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-vody-universalnyy-s-impulsnym-vyhodom-gerrida-1-2-dn15-80-mm-12631221/,leroymerlin,Приборы учета и измерений,-1,-1,12631221,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный, 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-17955225/,leroymerlin,Приборы учета и измерений,-1,-1,17955225,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-17955250/,leroymerlin,Приборы учета и измерений,-1,-1,17955250,шт,-1,-1,СПб,-1,-1,-1
"Манометр Sterwins 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,295.0,-1,https://spb.leroymerlin.ru//product/manometr-sterwins-6-bar-82279832/,leroymerlin,Приборы учета и измерений,-1,-1,82279832,шт,-1,-1,СПб,-1,-1,-1
Комплект монтажный сгонов для счётчика,Водоснабжение;Приборы учета и измерений,218.0,-1,https://spb.leroymerlin.ru//product/komplekt-montazhnyy-sgonov-dlya-schetchika-81955263/,leroymerlin,Приборы учета и измерений,-1,-1,81955263,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для газа СГБМ 1.8 1/2""",Водоснабжение;Приборы учета и измерений,2077.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-gaza-sgbm-18-1-2-18696536/,leroymerlin,Приборы учета и измерений,-1,-1,18696536,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный Росма 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-rosma-10-bar-88327517/,leroymerlin,Приборы учета и измерений,-1,-1,88327517,шт,-1,-1,СПб,-1,-1,-1
"Термометр осевой Росма 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,581.0,-1,https://spb.leroymerlin.ru//product/termometr-osevoy-rosma-120c-85258321/,leroymerlin,Приборы учета и измерений,-1,-1,85258321,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный Росма 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-rosma-6-bar-85258312/,leroymerlin,Приборы учета и измерений,-1,-1,85258312,шт,-1,-1,СПб,-1,-1,-1
"Манометр для фильтров Honeywell FK + клапан D04/D06, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1351.0,-1,https://spb.leroymerlin.ru//product/manometr-dlya-filtrov-honeywell-fk-klapan-d04-d06-11176888/,leroymerlin,Приборы учета и измерений,-1,-1,11176888,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр горизонтальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://spb.leroymerlin.ru//product/termomanometr-gorizontalnyy-17955268/,leroymerlin,Приборы учета и измерений,-1,-1,17955268,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр вертикальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://spb.leroymerlin.ru//product/termomanometr-vertikalnyy-17955276/,leroymerlin,Приборы учета и измерений,-1,-1,17955276,шт,-1,-1,СПб,-1,-1,-1
"Термометр накладной Росма 120C, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,394.0,-1,https://spb.leroymerlin.ru//product/termometr-nakladnoy-rosma-120c-85258322/,leroymerlin,Приборы учета и измерений,-1,-1,85258322,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный 1/4"" 0-10 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1070.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-1-4-0-10-bar-82273335/,leroymerlin,Приборы учета и измерений,-1,-1,82273335,шт,-1,-1,СПб,-1,-1,-1
"Манометр 50 мм, 1/4 дюйма",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,395.0,-1,https://spb.leroymerlin.ru//product/manometr-50-mm-15309001/,leroymerlin,Приборы учета и измерений,-1,-1,15309001,шт,-1,-1,СПб,-1,-1,-1
"Манометр осевой Росма 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://spb.leroymerlin.ru//product/manometr-osevoy-rosma-6-bar-85258316/,leroymerlin,Приборы учета и измерений,-1,-1,85258316,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный 1/4"" 0-10 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1070.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-1-4-0-10-bar-82273336/,leroymerlin,Приборы учета и измерений,-1,-1,82273336,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр осевой Росма 10 бар 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1447.0,-1,https://spb.leroymerlin.ru//product/termomanometr-osevoy-rosma-10-bar-120c-85258318/,leroymerlin,Приборы учета и измерений,-1,-1,85258318,шт,-1,-1,СПб,-1,-1,-1
"Термометр радиальный Росма 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1050.0,-1,https://spb.leroymerlin.ru//product/termometr-radialnyy-rosma-120c-85258323/,leroymerlin,Приборы учета и измерений,-1,-1,85258323,шт,-1,-1,СПб,-1,-1,-1
Счётчик для горячей воды Itelma 1/2х80 мм,Водоснабжение;Приборы учета и измерений,1510.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-goryachey-vody-itelma-1-2x80-mm-81955260/,leroymerlin,Приборы учета и измерений,-1,-1,81955260,шт,-1,-1,СПб,-1,-1,-1
Счётчик для холодной воды Itelma 1/2х80 мм,Водоснабжение;Приборы учета и измерений,1510.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-holodnoy-vody-itelma-1-2x80-mm-81955261/,leroymerlin,Приборы учета и измерений,-1,-1,81955261,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для газа Вектор 4 диафрагменный, левый",Водоснабжение;Приборы учета и измерений,3305.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-gaza-vektor-4-diafragmennyy-82000383/,leroymerlin,Приборы учета и измерений,-1,-1,82000383,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр радиальный Росма 10 бар 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1447.0,-1,https://spb.leroymerlin.ru//product/termomanometr-radialnyy-rosma-10-bar-120c-85258320/,leroymerlin,Приборы учета и измерений,-1,-1,85258320,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для газа СГБМ 3.2 1/2""",Водоснабжение;Приборы учета и измерений,3600.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-gaza-sgbm-32-1-2-18696544/,leroymerlin,Приборы учета и измерений,-1,-1,18696544,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для газа Вектор 4 диафрагменный, правый",Водоснабжение;Приборы учета и измерений,3305.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-gaza-vektor-4-diafragmennyy-82000382/,leroymerlin,Приборы учета и измерений,-1,-1,82000382,шт,-1,-1,СПб,-1,-1,-1
